1. 4,4,.009,02893,08516
2. 5,7,.013,07245,45216
3. 5,7,.2,45216,07245
4. 10,12,.4,15623,89175
5. 10,12,30,21505,72400
6. 3.5,3.5,.007,00001,06999
7. 4.25,6,.016,06999,07000
8. 4.25,6,.016,00001,99999
9. 4.251,6.001,.015,00001,99999
10. 6,11.5,.015,00001,99999
11. 6.125,11.5,.25,00001,99999
12. 6.126,11.5,.251,00001,99999
13. 24,18,.5,00001,99999
14. 24.001,18.001,.501,00001,99999
15. 1,20,21,00001,99999
16. 28,15,14,00001,99999
17. 1,32,32,00001,99999
18. 1,32.25,32.25,00001,99999
19. 1,20,21.001,00001,99999
20. 25,18,18,00001,99999
21. 3.49,3.5,.007,00001,99999
22. 3.5,3.49,.007,00001,99999
23. 3.5,3.5,.0069,00001,99999
24. 4.25,6,.0161,00001,99999
25. 6.001,11.5,.015,00001,99999
26. 6,11.501,.015,00001,99999
27. 6,11.5,.0151,00001,99999
28. 6.125,11.5,.2501,00001,99999
29. 6.126,11.5,0.0161,00001,99999
30. 24,18,.501,00001,99999
31. 24.01,18,.5,00001,99999
32. 24,18.01,.5,00001,99999
33. 1,32,32.01,00001,99999
34. 4,4,.009,00001,00001
35. 4,4,.009,06999,06999
36. 4,4,.009,00001,99999
37. 4,4,.009,99999,00001
38. 4,4,.009,06999,07000
39. 4,4,.009,19999,20000
40. 4,4,.009,35999,36000
41. 4,4,.009,62999,63000
42. 4,4,.009,84999,85000
43. 4,4,.009,07000,06999
44. 4,4,.009,20000,19999
45. 4,4,.009,36000,35999
46. 4,4,.009,63000,62999
47. 4,4,.009,85000,84999
48. 4,4,.009,00000,00001
49. 4,4,.009,99999,100000
50. 4,4,.009,0,99999
